deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,average_wave_height,m,-9999999.0,"[0.0, 12.0]",3861,0,0,0,6.0,3855,99.84,1.0334,0.0,2.97,0.387
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,max_wave_height,m,-9999999.0,"[0.0, 30.0]",3861,0,0,0,6.0,3855,99.84,2.239,0.0,6.57,0.8479
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,significant_wave_height,m,-9999999.0,"[0.0, 18.0]",3861,0,0,0,10.0,3851,99.74,1.5993,0.0,4.55,0.5956
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,significant_period,sec,-9999999.0,"[3.0, 20.0]",3861,0,0,1,1.0,3859,99.95,8.0654,3.9,15.2,1.6469
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,wave_height_10,m,-9999999.0,"[0.0, 23.0]",3861,0,0,0,7.0,3854,99.82,1.9627,0.0,5.67,0.7435
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,wave_period_10,sec,-9999999.0,"[3.0, 30.0]",3861,0,0,1,0.0,3860,99.97,8.3549,3.8,17.0,1.826
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,mean_wave_period,sec,-9999999.0,"[3.0, 30.0]",3861,0,0,0,1.0,3860,99.97,6.2471,3.5,11.7,1.1181
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,peak_wave_period,sec,-9999999.0,"[3.0, 30.0]",3861,0,0,0,0.0,3861,100.0,9.6416,3.6,22.2,3.0602
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,wave_period_tp5,sec,-9999999.0,"[3.0, 30.0]",3861,0,0,0,0.0,3861,100.0,9.3319,3.8,20.0,2.6068
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,wave_height_hmo,m,-9999999.0,"[0.0, 30.0]",3861,0,0,0,7.0,3854,99.82,1.704,0.51,4.86,0.6241
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,mean_direction,degrees,-9999999.0,"[0.0, 360.0]",3861,0,0,0,1.0,3860,99.97,265.0306,157.7,299.9,23.6354
deployment0001,recovered_host,wavss_a_dcl_statistics_recovered,mean_spread,degrees,-9999999.0,"[None, None]",3861,0,0,no global ranges,0.0,3861,100.0,24.0598,11.9,45.0,4.4839
deployment0002,recovered_host,wavss_a_dcl_mean_directional_recovered,mean_direction,degrees,-9999999.0,"[0.0, 360.0]",5117,0,0,0,26.0,5091,99.49,239.1543,76.82,345.11,29.5081
