deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0004,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Peak,peak_wave_period,sec,pass,3929.0,0.0,no missing data,3914.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Read Method,wave_period_tp5,sec,pass,3929.0,0.0,no missing data,3914.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - HMO,wave_height_hmo,m,pass,3929.0,0.0,no missing data,3914.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Mean Direction of Wave Field,mean_direction,degrees,pass,3929.0,0.0,no missing data,3914.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Mean Spread,mean_spread,degrees,pass,3929.0,0.0,no missing data,3914.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Average,average_wave_height,m,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Maximum,max_wave_height,m,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Significant,significant_wave_height,m,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Significant,significant_period,sec,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Highest Tenth,wave_height_10,m,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Highest Tenth,wave_period_10,sec,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Average,mean_wave_period,sec,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Peak,peak_wave_period,sec,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Read Method,wave_period_tp5,sec,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - HMO,wave_height_hmo,m,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Mean Direction of Wave Field,mean_direction,degrees,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Mean Spread,mean_spread,degrees,pass,3678.0,0.0,no missing data,3678.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Average,average_wave_height,m,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Maximum,max_wave_height,m,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Significant,significant_wave_height,m,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Significant,significant_period,sec,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - Highest Tenth,wave_height_10,m,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Highest Tenth,wave_period_10,sec,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Average,mean_wave_period,sec,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Peak,peak_wave_period,sec,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Period - Read Method,wave_period_tp5,sec,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Wave Height - HMO,wave_height_hmo,m,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-wavss_a_dcl_statistics_recovered,telemetered-wavss_a_dcl_statistics,Mean Direction of Wave Field,mean_direction,degrees,pass,5727.0,0.0,"{'missing_data_gaps': [['2017-06-09T10:07:51', '2017-06-09T14:07:51']], 'n_missing': [5], 'n_missing_total': 5, 'n_missing_days_total': 1}",5727.0,0.0,0.0,0.0,0.0
