deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,3554.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,3554.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0002,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,4007.0,4007.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,4007.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4007.0,4007.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,4007.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,4894.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,4894.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4894.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,4894.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,3314.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,3314.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,3314.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,3314.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0005,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,5734.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0005,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,5734.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0005,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,5734.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0005,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,5734.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0005,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,3576.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,3576.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,3576.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,3576.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0007,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,3646.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,3646.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
